acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
-668,1678,4073,182,-94,-9
-646,1759,4131,177,-68,12
-632,1838,4134,162,-33,28
-636,1914,4074,160,0,30
-648,1938,3965,168,21,16
-664,1917,3876,179,22,-1
-671,1876,3856,196,10,-17
-674,1847,3894,206,-1,-14
-663,1866,3933,200,-5,0
-654,1889,3947,187,0,16


-418,1494,4209,576,142,85
-379,1297,4364,726,225,107
-442,1134,4374,871,330,159
-428,1015,4289,777,454,299
-422,933,4186,607,588,489
-430,1037,3884,590,710,667
-480,1269,3611,565,776,825
-501,1488,3462,447,799,972
-495,1714,3319,344,820,1078
-510,1862,3124,310,832,1130
-545,1953,2929,299,818,1161
-550,2059,2831,304,779,1193
-523,2294,2808,363,718,1211
-505,2512,2878,402,652,1194
-471,2604,2997,420,604,1144
-471,2647,3047,444,583,1087
-474,2659,3034,441,577,1045
-484,2657,2990,422,570,1015
-486,2685,2937,404,554,1006
-486,2773,2912,362,530,1011
-476,2895,2904,314,500,1012
-441,3024,2954,269,467,1001
-421,3141,3031,227,443,970
-396,3196,3076,155,440,927
-401,3169,3050,120,454,864
-408,3120,2991,159,465,786
-407,3075,2927,238,455,708
-391,3036,2902,277,436,647
-394,2970,2919,291,422,595
-400,2880,2917,291,417,557
-403,2786,2911,275,413,540
-386,2732,2959,265,408,537
-385,2701,2975,279,409,531
-394,2684,2980,245,418,535
-389,2664,2933,188,436,551
-394,2669,2872,141,445,573
-372,2572,2897,144,428,594
-358,2527,2874,268,447,611
-388,2611,2734,256,429,634
-358,2554,2777,231,378,633
-344,2493,2846,295,343,628
-365,2484,2897,302,326,654
-364,2486,3008,199,323,714
-318,2451,3067,90,347,774
-313,2406,2978,28,386,830
-327,2392,2805,-40,406,900
-302,2400,2684,-154,391,991
-242,2418,2679,-278,360,1084
-191,2451,2693,-330,317,1164
-108,2522,2760,-456,278,1267
-42,2584,2971,-629,251,1382
22,2612,3086,-636,236,1441
101,2686,3026,-562,217,1471
160,2717,3068,-747,177,1566
208,2679,3483,-1000,140,1686
274,2802,3777,-926,138,1715
328,3032,3870,-807,186,1703
354,3283,3889,-899,267,1703
392,3474,3918,-1078,352,1678
387,3597,3889,-1175,442,1609
382,3648,3797,-1187,533,1520
321,3710,3337,-1190,637,1245
224,3622,3164,-1156,621,1109
243,3566,3062,-1063,549,981
317,3538,2990,-896,432,811
359,3400,3110,-896,288,673
412,3173,3577,-1073,167,607
499,2909,4022,-1206,137,542
554,2634,4328,-1290,176,492
592,2349,4567,-1335,252,467
585,2227,4515,-1315,380,455
543,2133,4264,-1565,526,524
514,2008,4190,-1887,627,632
505,2057,4035,-1897,677,658
453,2158,3881,-1691,692,588
373,2166,3582,-1474,686,459
312,2022,3449,-1359,652,340
238,1923,3224,-1091,592,206
196,1803,3059,-907,496,99
206,1745,3160,-925,371,57
238,1658,3515,-1007,272,30
260,1653,3596,-972,243,-16
293,1678,3597,-1026,246,-49
284,1730,3606,-1041,244,-102
303,1870,3547,-1010,227,-205
307,1886,3629,-1087,209,-314
316,1925,3580,-1073,197,-448
296,2150,3530,-1274,160,-561
346,1914,3787,-1602,109,-689
340,1585,3903,-1382,29,-888
351,1319,3910,-955,-25,-1076
363,979,3930,-838,-7,-1149
287,547,4015,-932,29,-1078
247,267,4115,-969,89,-941
253,233,4067,-988,167,-787
193,175,4161,-1133,243,-619
208,194,4152,-1181,301,-475
233,240,4201,-1105,353,-367
241,383,4138,-921,424,-300
209,588,4104,-842,483,-246
151,765,4013,-723,523,-257
165,991,3901,-576,510,-309
177,1108,4100,-536,478,-383
171,1113,4150,-335,474,-530
134,984,4063,-151,463,-696
82,653,4111,-104,436,-818
16,267,4203,-91,425,-862
-83,16,4218,-107,441,-815
-153,-24,4230,-228,469,-692
-170,37,4323,-407,512,-547
-264,270,4236,-455,579,-445
-367,520,4073,-468,634,-402
-414,653,3975,-407,644,-428
-471,699,3948,-297,622,-500
-545,644,3938,-194,591,-585
-682,396,3914,-143,574,-672
-742,287,3855,-110,568,-665
-772,279,3770,-62,552,-641
-808,313,3667,-43,521,-615
-835,320,3682,-86,476,-591
-830,318,3703,-145,421,-570
-792,260,3827,-259,375,-526
-788,289,3955,-362,368,-478
-764,262,4022,-437,398,-462
-747,233,4026,-397,419,-487
-735,202,3990,-314,425,-526
-736,132,3949,-282,433,-558
-755,17,3915,-252,440,-577
-794,-70,3813,-164,430,-602
-821,-132,3703,-127,411,-598
-872,-149,3590,-151,376,-557
-893,-174,3564,-176,321,-509
-885,-157,3547,-107,256,-480
-815,-89,3536,-48,176,-459
-782,-126,3775,-208,92,-407
-752,-237,4096,-365,58,-353
-739,-277,4261,-424,87,-305
-759,-249,4314,-441,157,-254
-750,-134,4136,-336,210,-221
-954,91,4063,-187,172,-224
-924,383,3949,-36,296,-340
-1044,424,3778,-23,346,-424
-1134,384,3722,-53,339,-518
-1191,371,3562,-5,321,-625
-1211,313,3503,-55,281,-714
-1198,213,3475,-100,222,-780
-1252,36,3611,-276,142,-776
-1247,-238,3921,-360,83,-768
-1215,-362,4086,-258,49,-763
-1198,-406,4337,-209,30,-720
-1186,-394,4476,-178,77,-674
-1233,-342,4443,-197,172,-630
-1285,-323,4329,-233,251,-598
-1339,-300,4135,-170,291,-598
-1383,-256,3896,-76,295,-618
-1432,-250,3727,0,260,-647
-1480,-279,3643,116,201,-694
-1491,-301,3468,250,128,-744
-1422,-432,3453,177,31,-718
-1397,-653,3706,65,-56,-654
-1301,-797,3845,90,-114,-584
-1232,-857,3993,59,-141,-451
-1252,-792,4101,-1,-133,-291
-1256,-653,4122,-82,-100,-142
-1265,-459,4063,-152,-65,-26
-1212,-201,4062,-147,-41,27
-1131,74,4007,-60,-29,2
-1091,247,3869,0,-21,-69
-1162,339,3751,29,-34,-162
-1153,358,3716,83,-72,-298
-1073,328,3791,148,-123,-456
-1059,199,3929,228,-163,-596
-994,29,3967,223,-175,-656
-994,-126,4032,102,-161,-642
-969,-239,3970,54,-138,-623
-878,-335,3911,-2,-142,-590
-809,-451,3878,-70,-163,-553
-825,-573,3925,-146,-199,-516
-813,-566,4041,-189,-246,-477
-742,-488,4222,-279,-274,-430
-727,-383,4457,-368,-254,-397
