acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,target
229,345,4285,-28,5,21,0
207,339,4280,-30,25,-3,0
198,307,4247,-45,46,-19,0
149,83,3934,-68,47,-49,0
165,-70,4004,-74,14,-38,0
185,-48,4106,-65,2,-10,0
199,47,4101,-52,4,9,0
209,79,4155,-51,2,17,0
222,80,4253,-51,6,22,0
211,107,4229,-49,27,28,0
177,110,4101,-39,44,26,0
149,177,4083,-28,41,29,0
163,218,4117,-7,39,20,0
148,167,4093,1,43,11,0
124,271,4000,-41,43,27,0
92,240,3878,-32,30,12,0
95,192,3934,-10,-5,2,0
135,152,4097,26,-29,-3,0
180,176,4188,34,-27,1,0
206,175,4229,17,-13,3,0
210,137,4259,12,1,4,0
201,208,4250,13,10,13,0
206,308,4248,0,23,14,0
197,243,4261,-12,35,-2,0
164,131,4166,-10,53,-9,0
108,134,3979,5,60,-6,0
536,-837,4915,400,-115,308,0
517,-834,4895,413,-76,390,0
524,-750,4906,412,-57,473,0
575,-724,5181,412,-45,541,0
614,-561,5387,402,14,622,0
547,-301,5150,394,114,692,0
495,-195,5022,401,160,725,0
496,-124,5098,385,193,766,0
491,5,4993,388,253,806,0
439,132,4751,396,298,837,0
422,249,4686,380,304,869,0
492,434,4793,315,329,931,0
503,617,4776,292,352,965,0
535,820,4813,254,372,982,0
574,908,5001,223,397,977,0
623,1010,5190,215,451,972,0
624,1302,5130,228,540,965,0
613,1542,4930,228,615,923,0
602,1503,4848,201,650,853,0
615,1289,5007,121,676,817,0
687,1201,5252,59,735,822,0
709,1280,5318,34,835,838,0
720,1533,5245,10,941,850,0
710,1888,5044,-27,1039,830,0
665,1941,4876,-41,1110,752,0
594,1975,4620,-4,1155,672,0
498,2239,4406,-4,1161,607,0
471,2261,4520,-9,1140,502,0
523,2165,4812,-33,1148,415,0
528,2112,4958,-45,1217,342,0
470,2190,4682,-69,1326,287,0
377,2326,4211,-76,1391,213,0
254,2243,3986,-74,1387,110,0
222,2197,4006,-67,1362,28,0
146,2205,3895,-62,1365,-50,0
18,2077,3676,-68,1369,-134,0
-103,2039,3450,-52,1351,-197,0
-199,2156,3319,-58,1317,-251,0
-270,2177,3304,-64,1279,-329,0
-331,2071,3324,-68,1250,-414,0
-401,1963,3242,-71,1244,-485,0
-556,1786,3023,-32,1200,-600,0
-564,1878,2984,-9,1166,-647,0
-560,1804,2958,-10,1131,-721,0
-576,1509,2854,-51,1103,-778,0
-682,1310,2581,-98,1063,-797,0
-777,1243,2415,-161,985,-792,0
-838,1152,2454,-192,889,-798,0
-880,1133,2599,-192,806,-794,0
-880,1329,2714,-197,747,-785,0
-886,1497,2780,-195,712,-821,0
-925,1386,2761,-192,692,-891,0
-976,1233,2660,-197,672,-944,0
-1040,1117,2597,-200,643,-986,0
-1095,838,2639,-202,614,-1023,0
