acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
-51,523,4816,9,773,-232
-107,455,4718,34,781,-259
-110,375,4793,65,785,-271
-106,441,4764,82,811,-267
-116,460,4735,79,836,-282
-167,430,4696,79,863,-302
-207,409,4577,94,889,-319
-232,329,4525,111,904,-333
-255,267,4495,133,918,-337
-292,312,4427,146,935,-330
-314,435,4297,140,952,-332
-314,435,4297,140,952,-332
-386,283,4150,123,957,-358
-444,94,4098,131,950,-359
-466,159,3968,152,947,-334
-487,169,3947,155,934,-328
-487,144,3952,141,929,-321
-536,69,3838,119,937,-314
-568,62,3684,105,930,-295
-618,88,3481,117,907,-290
-710,-90,3473,148,821,-278
-718,-10,3516,149,787,-250
-738,-49,3576,135,770,-239
-771,-94,3539,125,765,-223
-808,15,3330,136,763,-202
-858,73,3086,158,729,-210
-912,-148,3127,187,658,-223
-871,-34,3357,175,606,-182
-910,125,3185,148,601,-165
-931,118,3060,127,557,-171
-931,86,3090,132,500,-180
-965,-39,3029,128,455,-178
-957,0,3048,118,398,-150
-931,-2,3230,76,352,-131
-929,-50,3271,33,343,-107
-931,222,3118,48,340,-83
-960,326,2906,42,318,-98
-1008,106,2755,35,270,-123
-1002,113,2695,40,204,-108
-998,197,2614,33,139,-96
-1010,144,2608,14,72,-97
-1018,86,2575,6,10,-89
-1010,147,2650,7,-55,-70
-1020,169,2740,6,-104,-60
-1028,227,2695,1,-138,-44
-1034,313,2651,-14,-185,-29
-1023,501,2609,-29,-243,-18
-1012,666,2593,-37,-310,-34
-996,619,2697,-49,-388,-67
-974,698,2739,-48,-456,-89
-945,598,3018,-70,-586,-152
-878,703,3215,-67,-631,-156
-841,875,3242,-67,-648,-176
-827,831,3268,-69,-674,-223
-805,769,3323,-81,-700,-252
-784,805,3186,-94,-716,-271
-784,805,3186,-94,-716,-271
-715,790,3348,-112,-810,-332
-663,839,3273,-123,-826,-360
-631,800,3161,-125,-863,-403
-593,676,3160,-126,-924,-444
-574,496,3317,-138,-973,-454
-440,546,3535,-126,-1052,-472
-356,504,3955,-129,-1072,-487
-321,789,3846,-136,-1037,-500
-340,445,3670,-167,-1051,-560
-212,275,4236,-193,-1108,-534
-160,416,4249,-222,-1048,-523
-245,226,4100,-209,-1011,-556
-206,456,4032,-147,-1023,-555
-192,473,4162,-137,-1024,-588
-253,312,4041,-157,-1006,-618
-239,427,4083,-156,-1024,-619
-192,608,4134,-162,-1034,-647
-180,376,4240,-203,-1031,-695
-177,318,4097,-212,-1032,-704
0,194,4210,-204,-1087,-731
182,-23,5017,-224,-1105,-725
221,-69,5209,-254,-993,-715
265,-312,5230,-263,-898,-704
328,-149,5207,-232,-791,-674
239,-191,4768,-221,-696,-690
335,-796,4884,-210,-730,-700
277,-1039,4974,-234,-659,-625
244,-726,4718,-205,-602,-546
252,-525,4496,-209,-592,-544
205,-948,4633,-201,-589,-567
157,-952,4481,-165,-559,-504
192,-822,4402,-154,-568,-452
214,-976,4535,-171,-590,-415
364,-833,4856,-176,-593,-339
394,-683,4995,-168,-531,-310
349,-974,5053,-118,-460,-312
391,-1235,5200,-75,-391,-263
459,-1208,5219,-68,-295,-180
413,-1371,5195,-73,-202,-116
422,-1411,5141,-59,-126,-33
415,-1270,4949,-31,-53,41
370,-1421,4883,-4,-6,77
371,-1587,4930,40,36,137
332,-1656,4691,72,97,216
309,-1866,4519,83,119,289
328,-2034,4542,102,131,391
350,-1925,4283,148,157,509
384,-1802,4171,203,147,608
382,-1653,4197,232,145,709
385,-1503,4032,241,151,797
402,-1399,4043,252,137,868
397,-1241,3885,270,142,943
384,-910,3648,288,129,1016
435,-573,3696,306,97,1033
295,-685,3544,316,90,1043
373,-79,3595,365,32,1107
400,60,3801,354,5,1061
344,-265,3844,325,8,1045
414,239,3837,350,5,1101
447,583,3867,327,3,1078
420,485,3986,312,4,1018
486,521,4102,328,20,993
520,608,4062,305,46,978
557,684,4028,264,53,959
598,791,4055,222,45,935
627,781,4139,188,41,891
603,609,4184,173,50,849
638,622,4307,167,59,844
633,893,4205,133,92,842
611,1068,4168,88,102,798
571,995,4093,69,113,727
542,905,4002,96,106,664
507,821,3894,135,91,608
501,692,3922,143,60,569
492,664,4002,132,39,551
513,809,4031,120,31,539
522,829,4058,116,20,502
555,821,4166,130,19,461
557,705,4143,139,31,422
552,761,4098,83,57,398
517,727,3994,70,54,363
513,724,3962,85,40,331
465,871,3852,103,16,292
504,768,4094,56,-9,256
468,710,4032,34,5,243
489,886,4078,44,2,229
474,856,3927,48,-2,127
450,664,3938,52,-19,85
470,556,4041,29,-38,73
458,498,4061,2,-36,68
448,421,4025,5,-37,57
471,367,4082,17,-43,50
486,261,4131,10,-40,45
512,176,4203,-7,-31,52
526,240,4277,-19,-17,68
540,449,4304,-14,2,72
520,461,4216,-9,23,41
483,265,4227,-6,27,8
444,145,4217,-6,34,9
430,228,4173,-22,42,27
403,285,4148,-31,43,25
395,229,4220,-38,42,15
388,273,4159,-39,54,14
358,294,3993,-31,57,1
334,112,3911,-22,37,-17
334,-17,3971,-22,10,-11
352,46,4051,-32,1,15
344,180,3968,-34,8,24
312,126,3878,-29,1,9
320,36,4009,-31,-18,11
340,118,4095,-46,-11,31
356,210,4124,-44,1,33
343,187,4137,-20,15,14
327,220,3992,-2,25,6
347,210,4056,-14,10,-8
312,77,4039,-37,6,-13
316,172,4022,-26,-7,2
353,175,4154,-5,-30,-3
372,63,4266,-2,-33,-14
379,3,4283,-39,-7,6
354,138,4093,-49,9,30
353,158,4152,-34,-3,20
363,77,4265,-18,-1,12
373,70,4323,-24,19,26
365,140,4282,-43,44,41
347,233,4076,-35,60,38
340,203,4028,-7,40,18
