acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
549,91,4074,-35,5,-43
551,38,4131,-32,9,-20
563,158,4149,-27,19,12


1361,-165,8348,235,701,-10
1309,181,7923,234,969,43
1272,523,7555,245,1170,35
1170,539,7122,217,1356,-32
998,235,6646,189,1512,-91
843,106,6131,191,1638,-86
649,142,5481,201,1732,-75
472,69,4895,233,1769,-80
304,-244,4432,310,1750,-68
217,-378,4208,415,1696,-5
130,195,3864,562,1624,88
32,242,3564,589,1596,66
-55,191,3378,615,1544,47
-110,134,3312,655,1486,40
-153,237,3162,688,1446,52
-212,484,2889,694,1406,64
-289,616,2742,692,1330,37
-314,676,2794,679,1254,5
-339,752,2720,658,1214,-22
-401,706,2571,608,1176,-61
-455,693,2362,555,1134,-75
-509,740,2010,521,1078,-80
-551,767,1754,503,972,-94
-457,914,2024,456,694,-108
-457,1087,1980,394,610,-118
-483,1178,1863,331,519,-146
-477,1140,1874,283,409,-182
-479,1034,2099,256,294,-202
-437,1118,2553,217,211,-185
-459,1524,2641,156,212,-154
-552,1901,2371,91,221,-178
-666,2047,2107,50,173,-249
-774,2148,2056,43,76,-319
-803,2283,2107,40,-35,-382
-817,2547,2168,21,-143,-442
-834,2809,2254,-26,-255,-527
-781,2825,2623,-72,-375,-648
-680,2574,3309,-107,-461,-769
-557,2436,3944,-153,-446,-837
-474,2785,3819,-260,-240,-991
-475,2530,3683,-284,-202,-1146
-468,2092,3703,-285,-191,-1274
-466,1641,3754,-268,-180,-1357
-493,1347,3736,-250,-157,-1402
-565,1049,3720,-245,-141,-1447
-645,695,3770,-243,-135,-1475
-707,423,3744,-238,-120,-1471
-795,182,3563,-211,-113,-1459
-885,-1,3458,-162,-147,-1440
-903,-88,3512,-111,-202,-1408
-869,-250,3804,-69,-256,-1392
-836,-576,4146,-55,-272,-1370
-862,-865,4234,-62,-229,-1309
-905,-1062,4081,-57,-186,-1220
-895,-1177,3964,-35,-186,-1119
-826,-1151,4110,-11,-215,-1008
-739,-965,4310,-1,-219,-912
-720,-841,4238,2,-185,-858
-769,-903,4097,4,-161,-834
-783,-1134,4054,21,-171,-803
-782,-1362,4122,39,-176,-736
-808,-1437,4112,48,-164,-633
-821,-1376,4097,58,-152,-523
-808,-1151,4004,59,-134,-415
-824,-928,3794,59,-115,-341
-886,-848,3520,65,-125,-301
-946,-902,3380,73,-169,-264
-973,-959,3438,86,-225,-204
-958,-770,3490,89,-264,-109
-909,-394,3471,86,-287,-30
-858,-54,3406,73,-308,0
-826,193,3350,70,-331,-11
-766,270,3293,81,-352,-50
-742,121,3217,77,-369,-94
-762,-96,3041,52,-383,-98
-805,-136,2774,24,-411,-50
-790,102,2619,3,-471,13
-772,469,2566,-5,-544,44
-749,738,2471,-18,-620,24
-711,759,2478,-36,-710,-30
-654,593,2645,-55,-796,-79
-588,511,2774,-69,-855,-83
-505,687,2792,-90,-899,-67
-437,844,2779,-109,-952,-90
-349,698,2957,-151,-1013,-135
-278,554,3068,-197,-1050,-153
-231,613,3047,-225,-1079,-157
-146,497,3104,-242,-1128,-199
-45,191,3263,-249,-1179,-236
40,-39,3403,-259,-1211,-231
93,-209,3580,-249,-1241,-204
164,-259,3900,-222,-1269,-157
275,-129,4186,-196,-1264,-106
315,-30,4301,-198,-1229,-82
293,67,4380,-215,-1193,-73
253,156,3608,-176,-1251,-102
486,-75,5035,-109,-1394,-117
438,74,5149,-76,-1231,-77
390,0,4630,-71,-1151,-77
547,41,4963,-69,-1198,-72
648,32,5426,-97,-1162,-85
665,-307,5369,-107,-1073,-108
768,-552,5566,-69,-1033,-65
838,-320,5818,-44,-952,11
843,-85,5740,-47,-834,27
721,-600,5428,-21,-679,16
759,-454,5543,21,-637,94
798,-141,5552,55,-574,146
847,8,5543,66,-516,143
889,-52,5597,74,-460,115
901,-134,5558,86,-384,99
930,-275,5548,111,-313,81
928,-539,5558,134,-237,71
936,-841,5459,174,-152,84
913,-1113,5310,228,-69,128
918,-1226,5218,271,0,206
925,-1279,5047,283,71,291
884,-1378,4756,296,134,371
866,-1479,4527,305,160,453
847,-1579,4383,312,171,540
842,-1743,4356,330,169,634
884,-1896,4454,364,182,743
914,-1922,4388,418,235,866
912,-1912,4219,466,289,996
919,-1503,4013,563,320,1274
957,-1155,4005,613,321,1385
965,-717,3945,657,339,1472
946,-184,3753,687,358,1516
920,251,3581,680,334,1488
921,387,3725,642,283,1422
885,435,3792,577,263,1392
911,662,4011,494,271,1394
902,713,3916,431,310,1365
829,714,3723,400,328,1357
882,1063,3670,388,304,1360
887,1298,3867,389,269,1335
968,1769,3946,378,259,1286
902,1724,3988,358,274,1188
855,1798,3912,321,289,1134
866,2040,3918,271,288,1068
772,1959,3847,196,300,966
711,1702,3795,128,302,886
661,1687,3652,77,304,852
574,1923,3459,-9,308,805
516,1890,3215,-70,265,722
516,1819,3291,-110,186,666
490,2163,3352,-148,114,610
589,1583,3629,-137,35,459
523,1193,3960,-65,31,437
592,1635,3778,14,64,449
638,1679,3687,26,50,372
691,1422,3805,6,6,294
777,1358,4107,-25,-12,259
764,1293,4077,-54,16,215
750,1141,4034,-62,22,171
752,1082,4060,-57,18,147
752,982,4105,-56,10,117
742,971,4168,-76,22,95
723,1009,4103,-85,27,62
694,875,4140,-96,21,18
679,704,4258,-91,20,-12
661,539,4336,-84,42,-29
605,380,4222,-88,82,-29
523,283,4047,-86,103,-12
493,267,3966,-71,93,14
507,353,3974,-58,75,41
486,432,3936,-55,61,49
485,409,4015,-48,36,44
510,447,4236,-42,22,50
520,548,4287,-41,52,48
473,596,4080,-41,91,25
443,517,3950,-52,95,0
428,480,3875,-43,80,-10
411,515,3782,-36,57,-15
410,515,3775,-31,22,-33
413,309,3942,-34,-11,-59
439,81,4190,-50,-18,-46
471,96,4197,-65,15,7
484,333,4020,-67,42,48
500,533,3975,-55,30,41
518,466,4105,-40,11,-4
546,238,4253,-29,13,-34
549,82,4277,-38,43,-18
511,83,4154,-56,74,24
501,299,4099,-62,77,64
498,521,4054,-52,73,64
462,512,3972,-50,64,26
454,323,4038,-45,42,-5
479,247,4156,-31,22,22
509,415,4310,-14,27,40
528,553,4300,0,52,32
538,627,4240,0,65,2
500,543,4149,-34,76,-32
446,330,4005,-61,75,-53
431,198,3969,-73,53,-44
438,215,4055,-69,34,-19
437,281,4116,-64,35,-6
427,283,4020,-62,50,-5
399,256,3848,-49,53,-7
392,252,3824,-31,26,-4


1013,874,6918,467,387,29
1051,776,7000,449,522,-17
1035,672,6968,424,674,-37
961,790,6788,407,835,-38
871,970,6482,388,998,-65
717,893,5946,374,1137,-121
540,699,5459,396,1211,-158
424,609,5169,447,1229,-174
335,513,5020,493,1234,-182
289,585,4840,514,1252,-178
245,553,4688,523,1265,-194
220,329,4592,569,1266,-198
280,439,4692,613,1268,-159
339,613,4692,620,1309,-142
302,659,4388,607,1367,-158
245,710,4119,612,1385,-182
209,715,3934,616,1378,-212
153,721,3741,617,1370,-241
75,701,3516,596,1349,-268
-7,701,3262,554,1317,-291
-145,598,2952,512,1272,-311
-269,490,2646,475,1200,-305
-337,607,2485,438,1099,-275
-381,710,2563,410,986,-268
-355,590,3076,390,884,-285
-312,597,3380,357,894,-262
-376,754,2943,290,981,-233
-543,787,2321,240,997,-241
-784,850,1799,221,796,-243
-842,936,1870,230,664,-237
-872,1103,2017,202,559,-217
-901,1256,2036,158,481,-211
-959,1209,2128,123,401,-217
-959,1209,2128,123,401,-217
-978,1755,2209,77,288,-161
-970,2060,2201,41,233,-189
-955,2141,2351,18,166,-240
-901,2415,2423,-1,117,-262
-875,2901,2479,-33,67,-312
-855,3101,2572,-78,10,-442
-839,2953,2770,-125,-41,-590
-817,2688,3034,-165,-71,-710
-817,2495,3151,-198,-65,-792
-840,2530,3076,-237,-45,-847
-852,2532,2959,-269,-45,-934
-883,2291,2837,-301,-72,-1033
-892,2039,2841,-317,-125,-1103
-873,1746,3059,-308,-182,-1159
-821,1555,3269,-292,-205,-1196
-831,1439,3241,-275,-198,-1227
-863,1239,3175,-260,-208,-1267
-879,926,3337,-250,-245,-1296
-887,721,3578,-243,-257,-1290
-932,664,3518,-222,-230,-1276
-981,610,3261,-199,-221,-1272
-1015,453,3130,-173,-264,-1283
-995,133,3357,-153,-336,-1286
-970,-128,3649,-149,-376,-1246
-964,-88,3753,-153,-375,-1170
-946,-51,3734,-141,-376,-1127
-911,-170,3832,-126,-394,-1109
-860,-248,3947,-113,-402,-1079
-836,-294,3967,-103,-391,-1044
-838,-409,4085,-100,-385,-1011
-827,-448,4069,-101,-361,-960
-837,-579,3985,-132,-343,-878
-802,-661,3984,-122,-339,-832
-778,-745,4043,-98,-343,-787
-747,-766,4079,-61,-335,-737
-721,-818,4112,-33,-326,-700
-736,-991,4170,-43,-302,-664
-795,-1041,4004,-44,-273,-603
-833,-1012,3814,-39,-264,-535
-875,-973,3627,-23,-276,-478
-897,-1004,3541,-8,-307,-426
-867,-1032,3550,14,-346,-364
-790,-1066,3526,46,-373,-292
-733,-1027,3518,63,-395,-206
-667,-731,3625,75,-421,-108
-581,-377,3744,92,-428,-53
-526,-232,3733,89,-411,-53
-572,-215,3457,77,-378,-59
-629,-208,3104,85,-376,-51
-661,-191,2888,99,-419,-37
-681,-136,2736,99,-478,-9
-667,1,2670,86,-542,21
-638,141,2632,74,-605,35
-573,218,2502,68,-663,35
-502,273,2351,73,-729,33
-456,297,2315,91,-812,31
-438,257,2454,103,-908,28
-399,246,2700,84,-991,43
-378,433,2791,22,-1042,78
-365,663,2876,-33,-1096,104
-287,895,3079,-72,-1157,93
-224,942,3271,-113,-1195,37
-172,778,3312,-140,-1220,-32
-69,460,3457,-151,-1268,-89
35,36,3829,-147,-1320,-110
177,-170,4379,-137,-1347,-65
339,67,4830,-135,-1315,12
400,384,4909,-149,-1231,44
445,427,5070,-181,-1135,-6
518,275,5274,-179,-1090,-31
361,319,4907,-196,-1026,-47
439,-86,4698,-143,-1128,-105
597,-506,6037,-80,-1174,-86
611,-594,6124,-56,-953,-10
574,-705,5517,-15,-780,46
570,-649,5336,25,-743,72
580,-739,5240,95,-743,87
683,-798,5570,159,-777,142
885,-551,6469,165,-718,242
877,-157,6499,117,-511,309
795,31,6190,62,-340,310
722,78,5943,43,-215,277
644,-196,5640,43,-113,217
574,-809,5511,65,-52,171
580,-1441,5457,112,11,203
560,-1732,5129,181,87,313
554,-1707,4745,248,115,455
591,-1519,4642,302,93,585
624,-1456,4795,332,67,690
677,-1234,4963,350,85,811
746,-895,4958,361,144,903
783,-711,4799,355,217,940
774,-769,4599,354,284,942
738,-992,4385,380,339,959
738,-1041,4079,421,367,1026
744,-1047,4001,454,362,1100
723,-944,3953,485,368,1192
684,-599,3788,505,364,1282
687,-338,3761,539,337,1320
702,-282,3749,561,322,1324
704,-281,3704,556,309,1350
702,-16,3721,550,280,1424
776,663,3893,533,251,1496
817,1206,3984,485,252,1481
821,1383,4024,427,263,1390
802,1241,4165,368,276,1304
809,1256,4156,333,310,1266
795,1340,4086,299,342,1221
775,1227,4021,257,368,1159
707,1120,3849,226,384,1135
699,1229,3784,171,380,1157
679,1525,3593,108,376,1162
663,2057,3511,20,351,1096
559,2069,3296,-75,316,931
446,1305,3214,-61,226,808
444,1091,3536,11,133,852
551,1698,3724,56,105,925
582,2214,3721,12,104,893
614,2502,3646,-71,93,787
610,2134,3897,-101,78,621
570,1819,3826,-81,100,525
550,1864,3717,-34,101,464
554,1771,3677,-5,73,291
545,1444,3686,-40,52,218
539,1219,3697,-66,29,197
565,1157,3828,-90,0,201
579,1152,3946,-108,-17,203
578,1192,3993,-122,-21,192
565,1198,4028,-129,-25,159
541,1156,4062,-133,-23,119
512,1052,4031,-126,-18,76
494,823,4093,-122,-21,38
492,657,4178,-124,-13,34
507,717,4141,-114,8,54
527,922,4065,-90,19,56
531,940,4118,-86,15,14
527,734,4185,-111,22,-28
476,530,4080,-143,42,-44
414,393,3958,-158,45,-41
367,200,3969,-160,32,-23
369,177,4029,-142,23,23
380,351,4054,-124,28,68
398,601,4021,-115,31,85
379,721,3938,-115,26,63
348,663,3848,-115,7,21
326,527,3864,-108,-27,-8
333,449,4016,-99,-62,-13
373,393,4226,-98,-74,-12
391,259,4339,-109,-54,-12
404,182,4413,-124,-22,10
441,314,4466,-137,18,44
435,496,4366,-138,68,51
417,537,4209,-138,104,26
408,518,4108,-136,113,-7
359,499,3989,-134,107,-43
279,267,3848,-145,91,-74
256,51,3844,-144,50,-64
276,60,3953,-129,14,-23
300,149,4000,-140,3,15
347,227,4078,-149,-5,37
385,150,4247,-155,-11,36
394,127,4307,-159,14,57
399,228,4253,-146,42,74
385,284,4144,-129,55,69
392,386,4094,-94,43,56
360,365,4046,-74,35,26


